"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SL1344_4027",567.46632796911,4.82225619704367,0.301456847492961,15.9965057591079,1.35150650036248e-57,1.19288231637257e-55
"SL1344_1246",1659.4796180229,3.35119068686844,0.211595542757259,15.8377187118393,1.70909632475821e-56,1.48249372583768e-54
"SL1344_2867",333.124094010675,5.63670211220821,0.356182435721645,15.8253230561129,2.08128126049463e-56,1.77473322399127e-54
"SL1344_1531",827.962699266989,5.22621418123321,0.332125209905178,15.7356744545989,8.61340397596456e-56,7.22233923384628e-54
"SL1344_4035",1045.17937805742,-3.0816358655553,0.197705797320829,-15.5869777584446,8.92575256309652e-55,7.36155100736698e-53
"STnc3230",13166.5215549516,4.29799032117872,0.277478234097488,15.4894683367081,4.08655873714752e-54,3.31604467848212e-52
"STnc3020",257.9666780836,5.30710311328824,0.344529656572839,15.4039079424393,1.54069940173849e-53,1.23035852224545e-51
"SL1344_3596",1598.80300785853,3.45214883434273,0.224559323666603,15.3729926594722,2.48424089741112e-53,1.95284624294927e-51
"SL1344_2307",1544.34935243795,-3.10579495131398,0.202093836231494,-15.3680835062993,2.67979474455806e-53,2.07416113228794e-51
"SL1344_4489",2954.09262749453,3.82685072693068,0.249303987770186,15.3501384440683,3.53431346657592e-53,2.69411076520355e-51
"SL1344_2847",1718.40900186996,3.31029974052993,0.216910508928982,15.2611312235395,1.38820661766073e-52,1.04239813335092e-50
"SL1344_4481",425.979973794062,-3.9741324913978,0.261026853203553,-15.2249948333811,2.41377685916732e-52,1.78583990859864e-50
"SL1344_2868",271.923577852443,6.11708738614939,0.40292592024667,15.1816675938955,4.67737364919557e-52,3.41041548247868e-50
"SL1344_3842",724.091423463458,-3.08965755347012,0.205069343420622,-15.0664038901849,2.69381952279003e-51,1.93608657416523e-49
"SL1344_2647",2406.90488643385,-2.9464059590814,0.195579641158063,-15.064993174316,2.75194059460038e-51,1.95000184949782e-49
"SL1344_0194",158.21649673414,-4.62812430144843,0.308212134467947,-15.0160353337085,5.76545651512873e-51,4.0286127399462e-49
"SL1344_1710",425.973106106514,5.63278989102687,0.377093831157709,14.9373694969598,1.8826131914861e-50,1.29745574881734e-48
"SL1344_2963",3902.48309869063,3.79660971709923,0.257203256706524,14.7611261448033,2.60887895114312e-49,1.77368513556771e-47
"SL1344_1028",1130.36783130747,7.08968462957714,0.480377013881791,14.7585842467511,2.70908063072068e-49,1.81725128708743e-47
"SL1344_3407",4920.94177169975,-2.96329108408477,0.201461275220411,-14.7089860363623,5.64468657478036e-49,3.73663396812105e-47
"SL1344_1148",631.272312413043,-3.09051216184719,0.211116961583446,-14.6388624517298,1.58701224333558e-48,1.03691670080796e-46
"SL1344_2860",741.035283586664,3.70421907929858,0.254632067896814,14.547339264431,6.07191711980157e-48,3.91638654227202e-46
"SL1344_2857",741.102631970982,4.98897189787183,0.346042056620927,14.4172414954088,4.03135507437393e-47,2.56730979483231e-45
"SL1344_2846",542.154982807911,3.97620415061696,0.276677196469403,14.3712752671928,7.83746625652441e-47,4.92878659207179e-45
"SL1344_4273",8637.1790443237,4.84604192020674,0.338223792575291,14.3279155002911,1.46450694766206e-46,9.09621537492326e-45
"SL1344_3133",715.767574315667,-3.02091611858999,0.211246086886853,-14.3004595403845,2.17369438864137e-46,1.33364103283594e-44
"SL1344_1220",1547.33470046317,3.1153241400144,0.217931551842728,14.2949660738552,2.35220399688818e-46,1.42577569980053e-44
"SL1344_3954",950.268482107381,-3.27109725590833,0.22946492169209,-14.2553259634938,4.15358318117709e-46,2.48769964101214e-44
"SL1344_0580",1074.3873713372,-5.54771613553615,0.389839595228616,-14.2307662008595,5.90314316176906e-46,3.49396626433649e-44
"Spf",3810.06677149546,-4.06497368575325,0.286203414585617,-14.2030929003373,8.76566175493235e-46,5.12791212663542e-44
"SL1344_ncRNA_100",3810.03227678197,-4.06707428557979,0.287615688520715,-14.1406552142474,2.13289215996439e-45,1.23340005250354e-43
"SL1344_2856",909.704623326462,4.574499738479,0.324902279155083,14.0796172633049,5.06835400499958e-45,2.89760102263101e-43
"SL1344_1177",950.389197059864,3.94844271758609,0.282346183048209,13.9844026753211,1.94099626663393e-44,1.09720811431857e-42
"SL1344_0882",1544.87069761569,3.39271132265792,0.24514784257295,13.8394500520572,1.47329430061714e-43,8.23571514044978e-42
"SL1344_1058",580.048731530775,3.54879948316322,0.256764098114508,13.8212449062118,1.89759502730954e-43,1.04909896509828e-41
"SL1344_2879",361.153245086246,3.52133188478152,0.254794372626437,13.8202890765734,1.9229607605932e-43,1.05156691158091e-41
"SL1344_0193",117.359542149845,-4.94812946379333,0.363405105700491,-13.6160152572855,3.2164463245466e-42,1.73999370524666e-40
"SL1344_3387",14521.0042190783,-2.55660131958613,0.188837421299986,-13.5386371090332,9.24889745379046e-42,4.95012798829998e-40
"SL1344_3401",4786.84495733984,-2.92212505866095,0.217410392674537,-13.4405951008762,3.49613659854033e-41,1.8514803397112e-39
"SL1344_2306",2031.71963925762,-2.37133766216113,0.176590421167365,-13.428461444767,4.11880018506013e-41,2.15850872198308e-39
"SL1344_1253",839.779161982122,3.26470371302452,0.243841928850356,13.3886068258099,7.04905859778348e-41,3.65606327891224e-39
"SL1344_2924",987.642591313941,4.99676458683705,0.373364115346308,13.3830873976798,7.59267639806699e-41,3.89783213864031e-39
"SL1344_3615",952.571058613664,-4.34586147977216,0.325590911282327,-13.3476129989506,1.22305534603555e-40,6.21534489485337e-39
"SL1344_3388",3332.15971364237,-3.12534190101928,0.235992450880567,-13.2433977839443,4.92684194870851e-40,2.47869418439525e-38
"SL1344_1280",498.885551791878,-4.152371293962,0.313842627930463,-13.2307434504468,5.83077470870831e-40,2.90441857024866e-38
"SL1344_0902",234.679090841208,4.09000864321217,0.310464989186146,13.1738160039679,1.24159977112935e-39,6.1240082828939e-38
"STnc1480",491.373030690874,4.10992553600679,0.312148041723164,13.1665908051788,1.36629196443364e-39,6.67360667287928e-38
"SL1344_1325",202.135488855248,4.31039781364755,0.328556457195643,13.1191998186201,2.55619669820787e-39,1.23656015275806e-37
"SL1344_2471",1168.18662007294,-3.61768014721816,0.275839220199287,-13.1151768214994,2.69552807368639e-39,1.29154302273488e-37
"SL1344_4250",521.800378332862,4.18387063096892,0.319533820496565,13.0936707246421,3.57885061324676e-39,1.69860353162684e-37
"SL1344_3392",4672.06899564289,-3.08566772063132,0.235959950927397,-13.0770823968375,4.45202707190259e-39,2.0932848783871e-37
"STnc3460",1989.77544902505,3.66397317699628,0.280724734703727,13.0518359234116,6.20342452480661e-39,2.88976192447241e-37
"SL1344_3406",3921.4987360123,-2.94960836990777,0.226027082635251,-13.0498006500738,6.37138986507841e-39,2.94077636800087e-37
"SL1344_1668",186.189087970431,-3.38147191442124,0.259628191444581,-13.0242863673879,8.90295398392044e-39,4.07188740846397e-37
"STnc2030",1060.20316958035,6.85751832138214,0.531183377335764,12.9098887765975,3.95872448512886e-38,1.79426512474624e-36
"SL1344_1264",231.863500929172,5.03931992336505,0.392334746754815,12.8444395125531,9.24188484343327e-38,4.15142166493864e-36
"SL1344_1326",655.722645383834,3.52309878404101,0.275019671400151,12.8103519508426,1.43482292820661e-37,6.3881364175287e-36
"SL1344_1559",199.808543714799,4.73025974290032,0.369614189435984,12.7978304894585,1.68595762434278e-37,7.44039720006012e-36
"SL1344_4242",215.166483840099,4.18907517807755,0.327651692221902,12.7851473913356,1.98486161434559e-37,8.68333807110664e-36
"STnc1410",899.96749602276,3.43627199910519,0.270336845551423,12.7110752960663,5.13238038672068e-37,2.22594876944757e-35
"SL1344_3404",3823.61442967021,-3.05638888410225,0.240949415805926,-12.6847739965638,7.1820715698152e-37,3.08829077502054e-35
"SL1344_4040",1065.99088839214,-2.36073932356351,0.186456547489372,-12.6610695915523,9.71663931748258e-37,4.1427468140894e-35
"SL1344_3317",3060.77303863572,-2.62475477161807,0.20961613325884,-12.5217211614955,5.67901360836335e-36,2.40093424064504e-34
"SL1344_2501",687.901790677287,-2.51478573769828,0.201137713480066,-12.5028056359381,7.2062350548144e-36,3.02121404673094e-34
