"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_1153",5.18,4.84,2.75,3.09,1.04,0.64
"SL1344_1154",11.63,11.41,2.56,4.45,0.55,0.3
"SL1344_1155",8.34,8.92,2.14,3.16,0.17,0.07
"SL1344_1156",8.49,7.86,2.46,3,0.22,0.08
"SL1344_1157",11.16,9.92,3.82,4.39,0.47,0.24
"SL1344_1158",17.23,17.36,8.27,10.07,0.48,0.45
"SL1344_1159",11.68,12.13,3.5,3.65,0.39,0.18
"SL1344_1160",10.72,10.43,2.94,3.22,0.79,0.25
"SL1344_1161",1.67,2.22,1.96,1.64,18.98,6.11
"SL1344_1162",6.65,6.64,1.31,1.25,0.19,0.11
"SL1344_1163",6.63,8.6,1.57,2.52,0.26,0.17
"SL1344_1164",1.05,1.21,4.56,5.91,0.44,0.27
"SL1344_1165",11.11,10.4,21.66,41.1,8.73,11.94
"SL1344_1166",33.11,30.74,76.48,153.2,31.69,45.61
"SL1344_1167",8.68,9.28,4.18,5.15,1.12,0.57
"SL1344_1168",18.43,18.37,16.74,20.58,1.66,0.89
"SL1344_1169",29.96,30.02,30.35,34.49,3.42,1.43
"SL1344_1170",9.54,9.89,2.6,2.46,0.16,0.07
"SL1344_1171",14.07,13.77,3.68,5.7,0.09,0.09
"SL1344_1172",20.19,20.52,5.44,8.06,0.67,0.45
"SL1344_1173",2.41,2.99,1.22,1.86,0.25,0.14
"SL1344_1174",3.37,3.48,1.62,2.25,0.24,0.33
"SL1344_1175",6.34,6.31,2.32,3.29,4.89,1.57
"SL1344_1176",37.8,41.01,33.84,36.17,3.93,3.85
"SL1344_ncRNA_25",5.77,6.31,6.24,13.07,7.4,6.31
"STnc150",5.77,6.31,6.24,13.07,7.4,6.31
"SL1344_1177",2.03,2.04,17.42,25.73,5.09,2.09
"SL1344_1179",0.59,0.36,0.85,0.73,0.56,0.16
"IsrC",3.51,4.26,1.89,4.21,0.79,0.31
"SL1344_ncRNA_26",3.51,4.26,1.89,4.21,0.79,0.31
"SL1344_1180",31.94,30.32,11.38,14.26,2.53,0.82
"SL1344_1181",3.77,3.4,6.19,6.86,0.45,0.16
"SL1344_1182",8.39,7.59,0.72,1.7,0.25,0.25
"SL1344_1183",0.2,0.1,2.51,2.27,0.45,0.26
"SL1344_1184",1.98,2.1,120.93,87.4,5.35,3
"STnc3420",2.34,1.18,37.71,69.36,9.48,5.03
"SL1344_tRNA_22",51.1,46.88,527.23,396.86,87.98,94.14
"SL1344_ncRNA_27",60.63,59.53,398.33,531.2,7.07,6.96
"STnc520",60.63,59.53,398.33,531.2,7.07,6.96
"SL1344_1185",10.43,10.74,48.06,54.69,2.84,1.19
"SL1344_1186",0.95,1.34,1.87,2.37,7.8,8.38
"SL1344_1187",14.94,16.27,14.02,13.2,4,3.92
"STnc1760",16.92,13.17,19.39,22.35,21.08,13.92
"SL1344_ncRNA_28",49.6,43.76,62.7,58.48,57.11,40.27
"STnc1210",49.6,43.76,62.7,58.48,57.11,40.27
"SL1344_1188",1.84,1.77,1.64,1.66,1.96,0.74
"SL1344_1189",3.32,3.83,2.97,2.98,0.74,0.31
"STnc1990",28.8,31.73,15.18,20.81,11.16,6.82
"STnc3430",10.87,18.16,10.98,20.09,7.58,6.58
"SL1344_1190",8.88,11.51,4.39,4.81,2.51,1.07
"SL1344_1191",0.81,1.21,2.66,2.25,0.28,0.17
"SL1344_1192",0.56,0.75,1.24,0.92,0.2,0.1
"SL1344_1193",1.31,1.51,1.71,1.04,0.15,0.11
"SL1344_1194",0.62,0.78,0.91,0.65,0.08,0.05
"SL1344_1195",0.61,0.44,0.88,0.98,0.14,0.1
"SL1344_1196",2.1,2.09,1.55,2.1,2.07,1.01
"SL1344_1197",2.53,2.55,5.12,5.69,4.51,3.58
"SL1344_tRNA_23",22.05,17.62,52.19,48.84,285.11,387.57
"IsrD",1.52,2.05,3.63,7.09,1.92,3.95
"SL1344_ncRNA_29",1.52,2.05,3.63,7.09,1.92,3.95
"SL1344_1198",5.48,4.91,2.87,4.04,4.55,3.06
"STnc3440",3.87,4.2,8.38,16.07,29.05,20.6
"SL1344_1199",1.97,2.15,1.79,1.88,0.7,0.46
"SL1344_1200",0.26,0.4,1.12,2.11,1.19,1.97
"SL1344_1201",5.49,6.24,2.14,3.17,0.81,0.46
"SL1344_1202",13.73,16.13,42.69,53.81,7.95,4.35
"SL1344_1203",1.38,1.74,3.55,3.36,13.19,4.4
"SL1344_1204",6.74,6.97,7.15,6.51,0.23,0.16
"SL1344_1205",15.16,16.37,5.02,5.67,1.14,0.58
"SL1344_1206",4.36,4.11,2.83,2.71,2.07,0.76
"SL1344_1207",4.53,3.99,3.86,4.84,1,1.01
"SL1344_1208",0.77,0.85,0.59,0.55,1.04,0.36
"RyhB-2",14.85,16.69,4.9,4.04,768.37,670.2
"SL1344_ncRNA_30",14.85,16.69,4.9,4.04,768.37,670.2
"SL1344_1209",16.29,16.55,32.41,30.02,719.6,544.29
"SL1344_1210",8.01,5.66,52.78,57.78,7.79,6
"SL1344_1211",3.8,3,8.07,8.44,1.27,0.42
"SL1344_1212",11.7,14.04,9.45,9.03,4.12,1.73
"SL1344_1213",9.08,8.39,3.69,4.7,0.99,0.56
"SL1344_1214",0.98,0.77,0.16,0.27,0.13,0.07
"SL1344_1215",2.08,2.2,0.83,1.2,1.17,0.81
"SL1344_1216",2.55,2.57,1.7,1.92,0.2,0.18
"SL1344_1217",1.45,1.01,2.01,2.51,0.24,0.11
"SL1344_1218",1.84,1.99,3.28,4.08,2.69,0.81
"STnc1480",2.82,2.51,32.69,29.64,5.77,4.09
"SL1344_1219",2.54,2.63,8.57,12.48,4.44,2.73
"SL1344_1220",1.47,1.69,8.46,10.24,8.03,4.11
"SL1344_1221",33.14,30.1,33.46,36.62,1.7,1
"SL1344_1222",0.65,0.48,0.46,0.59,0.38,0.13
"SL1344_1223",2.2,2.49,1.72,1.96,0.41,0.19
"SL1344_1224",4.89,4.48,1.14,1.69,0.5,0.35
"SL1344_1224A",11.68,10.13,3.58,4.68,0.38,0.25
"SL1344_1225",144.16,143.27,35.34,40.22,3.61,3.07
"SL1344_1226",25.78,23.5,33.6,28.12,2.85,1.38
"SL1344_1227",34.81,34.68,29.71,25.98,2.25,1.37
"SL1344_1228",5.56,5.44,1.39,1.67,0.15,0.12
"SL1344_1229",5.04,4.31,1.91,2.04,0.78,0.41
"SL1344_1230",4.88,4.69,1.75,2.27,0.15,0.14
"SL1344_1231",6.71,6.43,3.41,3.93,3.95,1.04
"SL1344_1232",9.87,10.34,3.48,3.91,0.31,0.18
"SL1344_1233",9.87,8.83,3.06,4.22,0.23,0.16
"SL1344_1234",2.81,3.18,1.96,2.48,0.24,0.16
"SL1344_1235",23.08,25.8,31.85,43.38,8.04,3.38
"SL1344_1236",11.37,13.13,13.7,22.76,0.89,0.33
"SL1344_1237",6.19,5.85,2.95,2.88,1.55,0.68
"SL1344_1238",0.3,0.34,2.05,1.48,5.1,3.03
"SL1344_1239",0.4,0.38,1.82,1.68,4.59,3
"SL1344_1240",0.26,0.32,1.47,1.35,4.69,2.6
"SL1344_1241",0.29,0.47,1.75,2.14,4.06,2.4
"SL1344_1242",0.32,0.38,0.79,1.27,1.37,0.77
"SL1344_1243",2.45,1.93,6.45,6.54,2.69,2.17
"SL1344_ncRNA_31",23.25,16,111.15,86.16,130.45,44.11
"STnc1640",23.25,16,111.15,86.16,130.45,44.11
"SL1344_1244",2.94,2.93,2.89,3.05,1.47,0.68
"SL1344_1245",7.16,7.24,4.57,4.83,1.54,1.04
"SL1344_1246",17.34,18.3,124.7,122.14,25.28,12.69
"SL1344_1247",3.63,3.82,6.64,7.65,0.63,0.46
"SL1344_1248",1.01,1.13,2.78,4.2,0.46,0.25
"SL1344_1249",1.93,1.35,3.35,4.72,0.43,0.32
"SL1344_1250",1.02,1.26,2.28,2.98,1.43,0.46
"SL1344_1251",0.65,0.65,1.2,1.47,6.92,2.49
"SL1344_1252",2.49,2.75,4.47,4.53,1.18,1.24
"STnc2010",5.87,6.93,18.36,23.28,7.19,12.77
"SL1344_1253",0.92,0.88,5.72,6.05,2.62,1.67
"SL1344_1254",7.99,9.12,2.73,2.72,2.2,1.24
"SL1344_1255",3.59,3.28,1.62,1.41,0.34,0.32
"SL1344_1256",2.59,2.87,1.34,2.3,1.45,0.64
"STnc3570",38.77,39.67,18.89,18.01,3.44,1.71
"SL1344_1257",5.26,5.19,2.28,3.48,0.67,0.5
"SL1344_1258",7.19,8.21,6.71,6.7,4.8,1.93
"SL1344_1259",1.8,2.12,4.44,5.52,1.46,0.92
"SL1344_1260",2.14,1.61,2.43,3.61,0.74,0.44
"SL1344_1261",3.72,2.68,3.87,4.22,1.18,0.69
"SL1344_1262",12.35,11.24,3.01,6.98,1.45,1.57
"STnc3460",23.14,21.38,150.36,238.48,157.79,70.7
"STnc4210",18.45,16.79,275.13,402.76,257.71,114.63
"SL1344_1263",2.37,2.8,54.8,62.55,19.22,8.21
"SL1344_1264",1.15,1.41,26.25,31.17,1.87,0.6
"SL1344_1265",3.25,2.73,5.14,6.78,3.96,2.13
"SL1344_1330A",3.38,3.4,3,3.29,1.48,0.56
"SL1344_1266",10.83,10.93,3.45,4.76,0.74,0.26
"SL1344_1267",51.11,51.8,15.3,19.88,1.35,0.77
"SL1344_1268",925.41,933.9,183.73,198.18,14.27,7.5
"SL1344_1269",833.31,825,118.47,133.06,1.45,1.34
"SL1344_1270",698.01,703.47,119.34,119.1,2.23,1.77
"SL1344_1271",13.61,12.93,3.93,4.34,0.22,0.13
"SL1344_1272",22.69,23.03,12.94,13.12,1.88,1.11
"SL1344_1273",145.93,145.54,125.08,140.74,36.23,28.55
"SL1344_ncRNA_32",44.08,50.22,99.31,212.97,34.04,65.85
"STnc540",44.08,50.22,99.31,212.97,34.04,65.85
"SL1344_1274",4.44,4.81,1.45,1.47,0.16,0.09
"SL1344_1275",3.71,3.4,2.25,2.62,2.29,1.01
"SL1344_1276",2.35,2.57,1.2,1.57,0.32,0.16
"SL1344_1277",6.07,5.27,4.28,4.14,1.83,0.86
"SL1344_1278",1.67,2.19,2.53,2.98,7.93,3.88
"SL1344_1279",5.51,5.37,1.54,1.69,1.3,0.92
"SL1344_1280",32.64,33.96,1.08,1.46,28.4,11.96
"SL1344_1281",5.27,5.9,1.85,2.32,0.34,0.3
"SL1344_1282",3.51,3.88,2.66,2.61,1.2,0.5
"SL1344_1283",28.56,28.63,15.12,15.1,0.99,0.62
"SL1344_1284",1.66,1.57,0.86,1.19,0.32,0.19
"SL1344_1285",0.44,0.27,0.3,0.21,0.09,0.05
"SL1344_1286",0.34,0.36,0.19,0.22,0.1,0.03
"SL1344_1287",0.89,0.75,0.55,0.71,0.12,0.09
"SL1344_1288",0.85,0.78,0.17,0.42,0.1,0.03
"SL1344_1289",0.2,0.47,0.18,0.23,0.41,0.08
"SL1344_1290",1.39,1.15,1.42,1.43,0.67,0.45
"SL1344_1291",0.37,0.2,0.16,0.18,0.45,0.19
"SL1344_1292",1.47,2.51,0.9,1.58,0.4,0.15
"SL1344_1293",1.52,1.05,0.8,0.79,0.45,0.19
"SL1344_1294",0.11,0.06,0.04,0.1,0.27,0.12
"SL1344_1296",0.19,0.13,0.2,0.19,0.26,0.16
"SL1344_1297",0.29,0.22,0.54,0.51,0.31,0.09
"RprA",104.3,99.78,378.1,381.28,2832.82,1672.49
"SL1344_ncRNA_33",104.3,99.78,378.1,381.28,2832.82,1672.49
"SL1344_1298",2.43,2.8,1.53,2.36,0.57,0.53
"SL1344_1299",2.95,2.82,2.21,2.51,0.2,0.1
"SL1344_1300",3.65,3.24,2.67,3.24,0.22,0.04
"SL1344_1301",16.58,15.04,19.86,27.09,2.38,1.32
"RydB",25.07,28.3,52.08,67.02,13.2,13.58
"SL1344_ncRNA_34",25.07,28.3,52.08,67.02,13.2,13.58
"SL1344_1302",0.83,0.97,0.89,1.16,0.95,0.35
"SL1344_1303",5.12,3.96,0.88,1.02,9.72,3.75
"SL1344_1304",3.78,4.05,0.76,1.06,1.13,0.64
"SL1344_1305",2.88,3.35,1.15,1.5,1.25,0.89
"SL1344_1306",4.07,4.1,1.48,1.73,1.16,0.74
"SL1344_1307",2.35,2.29,0.69,0.85,0.66,0.46
"SL1344_1308",2.11,2.69,0.86,1.13,0.97,0.47
"SL1344_1309",2.61,2.47,2.27,2.99,3.59,2.52
"SL1344_1310",7.66,5.65,3.9,4.46,2.18,1.46
"SL1344_1311",4733.98,4886.51,2762.74,2629.65,139.42,146.08
"SL1344_1312",11.8,11.92,4.56,5.83,0.89,0.71
"SL1344_1313",1.27,1.53,0.9,1.03,0.56,0.21
"SL1344_1314",1.45,1.69,1.34,1.25,0.38,0.22
"SL1344_1315",0.11,0.07,1.34,1.06,0.26,0.09
"SL1344_1316",0.02,0.06,0.71,0.78,0.6,0.14
"SL1344_1317",0.42,0.3,0.22,0.23,0.12,0.07
"SL1344_1318",0.08,0.36,0.19,0.15,0.03,0.03
"SL1344_1319",0.14,0.28,0.17,0.24,0.13,0.07
"SL1344_1320",2.29,2.2,3.23,3.56,0.21,0.1
"SL1344_1321",2.23,2.53,2.35,2.26,0.31,0.12
"SL1344_1322",13.01,14.82,7.76,11.14,1.59,0.98
"SL1344_1323",4.18,3.78,6.15,6.92,3.47,2.21
"SL1344_1324",3.94,3.33,2.49,2.9,1.36,0.66
"SL1344_1325",0.77,0.82,10.66,10.73,0.99,0.54
"SL1344_1326",0.52,0.68,4.43,5,1.78,0.74
"SL1344_1327",0.77,0.13,1.49,1.31,1.58,0.61
"SL1344_1328",0.1,0.1,0.87,1.36,0.78,0.28
"SL1344_1329",0.38,0.24,1.14,1.36,0.79,0.26
"SL1344_1330",1.17,1.07,12.18,14.06,4.76,1.89
"SL1344_1331",0.38,0.87,8.1,11.14,5.49,2.34
"SL1344_1332",1.67,1.68,6.79,8.98,8.74,4.6
"SL1344_1333",1.8,1.21,4.71,5.54,2.22,1.31
"SL1344_1334",1.28,1.11,3.62,4.37,0.72,0.37
"SL1344_1335",0.97,1.15,2.5,2.97,0.49,0.22
"SL1344_1336",0.43,0.56,1.96,1.83,0.45,0.24
"SL1344_1337",0.89,0.84,1.88,2.26,2.67,1.39
"SL1344_1338",0.4,0.73,1.06,1.04,0.55,0.19
"SL1344_1339",1.16,0.91,1.09,1.15,0.49,0.2
"SL1344_1340",0.48,0.85,8.01,11.05,1.39,0.84
"SL1344_1341",0.11,0.34,6.11,8.73,0.95,0.42
"SL1344_1342",0,0.1,4.54,6.68,0.29,0.21
"SL1344_1343",0.28,0.17,3.38,5.92,0.28,0.19
"SL1344_1344",0.57,0.33,2.36,4.21,0.67,0.34
"SL1344_1345",0.23,0.35,3.21,3.88,4.7,1.84
"SL1344_ncRNA_35",0,0.71,7.3,9.25,35.42,13.18
"STnc1220",0,0.71,7.3,9.25,35.42,13.18
"SL1344_1346",0.99,0.85,2.54,2.63,0.95,0.34
"SL1344_1347",0.21,0.42,2.06,2.55,1.73,0.64
"SL1344_1348",0.61,0.51,1.28,1.41,2.16,0.77
"SL1344_1349",1.49,1.3,1.46,1.78,0.36,0.15
"SL1344_1350",1.92,2,1.99,2.54,0.47,0.3
"SL1344_1351",1.86,1.39,2.2,2.84,3.17,1.25
"SL1344_1352",1.82,1.96,1.73,1.92,2.58,1.04
"SL1344_1353",0.52,0.8,2.33,2.57,0.43,0.27
"SL1344_1354",0.29,0.39,0.94,0.89,0.05,0.05
"SL1344_1355",0.53,0.74,0.81,1.27,0.28,0.19
"SL1344_1356",0.86,0.74,0.99,1.06,2.55,0.54
"SL1344_tRNA_24",3520.38,3591.87,5757.2,5780.92,5664.24,7804.78
"SL1344_tRNA_25",4998.32,5131.74,8490.53,9754.47,7119.1,10031.48
"SL1344_1357",2.49,2.54,3.21,3.8,2.15,1.57
"SL1344_1358",12.71,12.35,5.15,6.26,0.71,0.53
"SL1344_1359",9.33,8.99,9.7,12.59,6.52,4.52
"SL1344_ncRNA_36",109.92,129.83,75.31,54.85,56.16,24.21
"SL1344_1360",1.07,1.32,0.41,0.56,0.4,0.19
"SL1344_1361",2.33,2.15,1.5,6.72,0.29,0.85
"SL1344_1362",17.32,16.19,9.49,9.14,1.13,0.88
"STnc4220",108.5,100.76,67.45,67.47,9.14,8.1
"SL1344_1362A",157.98,142,251.81,253.42,24.89,17.18
"SL1344_1363",34.89,33.48,63.95,92.11,0.57,1.17
"SL1344_1364",8.06,6.92,2.75,3.16,1.21,0.61
"SL1344_1365",115.42,116.54,37.86,40.03,11.43,5.72
"SL1344_1366",12.07,13.85,3.04,4.85,0.32,0.29
"SL1344_1367",16.44,17.26,11.89,10.65,4.99,2.35
"SL1344_1368",2.08,2.87,1.1,1.26,0.06,0.03
"SL1344_1369",3.06,3.43,1.81,2.03,1.32,0.43
"SL1344_1370",2.16,2.17,4.94,3.24,18.69,5.45
"SL1344_1371",6.12,7.24,2.3,2.99,1.19,0.91
"SL1344_1372",4.76,4.25,7.63,6.45,6.87,3.34
"SL1344_1373",2.21,1.89,1.4,1.7,0.33,0.38
"SL1344_1374",3.32,2.62,0.99,1.09,0.28,0.14
"SL1344_1375",4.81,5.28,1.42,2.22,0.99,0.63
"SL1344_1376",38.99,41.93,70.76,85.46,19.74,10.62
"SL1344_1377",71,68.44,45.98,50.03,66.75,31.2
"SL1344_1378",1.43,1.42,0.89,1.14,0.16,0.09
"SL1344_1379",6.75,6.8,4.91,5.41,0.63,0.5
"SL1344_1380",9.38,10.2,3.13,4.12,0.26,0.19
"SL1344_1381",19.68,20.7,7.5,9.85,0.37,0.33
"SL1344_1382",8.9,8.69,2.12,2.88,0.22,0.14
"SL1344_1383",15.04,13.82,14.45,14.01,3.7,1.54
"SL1344_1384",16.11,17.65,6.94,8.65,0.38,0.21
"SL1344_1385",7.09,6.36,2.69,3.53,2.27,1.39
"SL1344_1386",6.47,6.47,1.11,1.36,0.41,0.22
"SL1344_1387",6.42,5,1.19,1.05,0.28,0.21
"SL1344_1388",4.35,3.84,0.64,0.66,0.15,0.06
"SL1344_1389",6.58,6.79,1.19,1.49,0.04,0.02
"SL1344_1390",11.05,11.49,3.33,4.35,0.24,0.09
"SL1344_1391",11.3,11.61,2.54,3.06,0.31,0.15
"SL1344_1392",19.85,17.62,3.95,5.41,1.08,0.49
"SL1344_1393",25.9,25.52,9.18,11.45,4.55,1.48
"SL1344_1393A",35.15,39.95,5.79,8.93,0.47,0.26
"SL1344_1394",5.67,5.79,3.31,3.89,0.33,0.24
"SL1344_1395",10.62,9.24,2.61,3.74,0.57,0.32
"STnc3500",2.7,3.4,4.92,4.86,6.81,3.29
"SL1344_1396",7.02,7.5,3.86,4.63,2.12,1.35
"SL1344_1397",5.48,5.26,2.52,2.98,0.58,0.2
"SL1344_1398",10.49,10.12,10.22,8.83,0.62,0.38
"SL1344_1400",3.47,3.55,5.98,6.35,0.75,0.5
"SL1344_1401",2.39,1.88,1.97,3.13,2.35,1.04
"SL1344_1402",0.84,1.06,0.48,0.67,0.13,0.15
"SL1344_1403",0.39,0.47,0.16,0.14,0.23,0.15
"STnc3510",4.73,6.12,7.1,9.31,4.6,3.89
"SL1344_1404",0.84,0.99,1.06,1.36,1.11,0.64
"SL1344_1405",24.87,24.94,11.94,15.18,3.57,2.1
"SL1344_1406",3.62,3.65,1.49,2.17,0.49,0.36
"SL1344_1407",2.23,2.58,0.67,0.75,0.62,0.38
"SL1344_1408",17.92,17.64,10.07,10.49,1.73,1.03
"SL1344_1409",8.24,8.49,4.59,5.72,0.29,0.18
"SL1344_1410",10.59,9.82,5.19,5.75,0.47,0.26
"SL1344_1411",1.55,1.54,1.28,1.4,1.44,0.68
"SL1344_1412",5.28,4.45,2.73,3.72,0.36,0.2
"SL1344_1413",2.83,2.45,1.88,3.16,0.55,0.24
"SL1344_1414",2.05,1.78,4.83,3.56,2.69,1
"SL1344_1414A",0.62,0.93,1.42,2.44,0.93,0.34
"SL1344_1415",1.54,1.28,1.18,0.93,0.73,0.42
"STnc3480",10.91,11.49,3.75,4.81,0.83,0.62
"SL1344_1416",0.95,1.25,0.86,1.03,0.42,0.27
"SL1344_1417",0.55,0.81,0.96,0.77,0.09,0.07
"SL1344_1418",2.99,3.01,4.16,5.77,0.42,0.3
"SL1344_1419",1.97,1.2,5.52,9.6,0.3,0.34
"SL1344_1420",1,1.25,0.93,1.52,0.24,0.13
"SL1344_1421",1.08,1.63,1.58,1.83,1.88,1.04
"SL1344_1422",0.92,0.72,1.28,1.06,4.96,1.37
"SL1344_1423",0.49,0.38,0.92,0.74,3.88,1.5
"SL1344_1424",0.29,0.22,0.73,0.7,1.91,1.04
"SL1344_1425",3.92,2.88,2.25,2.33,0.32,0.23
"SL1344_1426",2.05,1.85,1.64,1.68,0.27,0.08
"SL1344_1427",0.08,0.13,0.42,0.47,0.02,0.02
"SL1344_1428",0.29,0.24,0.42,0.62,0.07,0.04
"SL1344_1429",0.62,0.58,1.1,1.68,0.23,0.18
"SL1344_1430",4.69,3.97,4.54,4.85,7.38,3.4
"SL1344_1431",8.09,7.97,5.56,6.46,8.84,3.5
"SL1344_1432",25.76,25.85,8.24,10.54,0.97,0.56
"SL1344_1433",19.69,20.74,7.67,8.97,1.68,0.75
"SL1344_1434",1.19,0.72,0.8,0.75,0.1,0.04
"SL1344_1435",0.4,0.36,0.6,0.53,0.03,0.02
"SL1344_1436",0.66,0.66,0.69,0.67,0.2,0.07
"SL1344_1437",0.62,0.55,1.06,0.96,0.51,0.26
"SL1344_1438",1.41,1.17,0.91,1.07,0.3,0.15
"SL1344_1439",3.17,3.07,14.88,19.85,0.19,0.2
"SL1344_1440",4.83,4.63,1.77,2.55,0.57,0.26
"SL1344_1441",9.01,9.78,8.13,7.87,7.75,3.81
"SL1344_1442",1.61,2.06,1.16,1.17,0.24,0.14
"SL1344_1443",1.56,1.28,19.08,25.15,160.36,213.45
"SL1344_1444",0.39,0.4,2.43,2.38,3.93,1.56
"SL1344_1445",0.92,1.46,6.4,7.18,3.57,2.53
"MgrR",695.85,679.97,818.62,816.02,683.6,327.12
"SL1344_ncRNA_37",695.85,679.97,818.62,816.02,683.6,327.12
"SL1344_1446",0.94,0.88,0.76,0.73,1.03,0.46
"SL1344_1447",1.41,1.5,0.86,0.87,0.17,0.08
"STnc2170",12.76,11.34,5.52,6.62,4.35,2.22
"SL1344_1448",6.35,7.49,2.47,2.3,1.27,0.58
"SL1344_1449",3.05,3.34,0.73,1.03,0.22,0.04
"SL1344_1450",3.75,3.18,0.68,0.78,0.68,0.22
"SL1344_1451",3.58,4.07,3.82,4.44,1.97,1.23
"SL1344_1452",1.78,2.23,0.59,1.2,0.27,0.16
"SL1344_1453",0.89,0.96,0.49,0.52,0.22,0.12
"SL1344_1454",0.8,0.81,0.42,0.46,0.08,0.07
"SL1344_1455",3.44,3.66,0.73,1.07,0.34,0.13
"SL1344_1456",2.09,3.19,0.94,1.1,0.4,0.23
"SL1344_1457",9.96,10.77,1.14,1.39,0.54,0.21
"SL1344_1458",1.86,1.59,0.62,0.55,0.47,0.17
"SL1344_1459",1.3,2.15,0.99,0.82,1.26,0.44
"STnc3530",10.09,11.22,6.07,4.52,1.44,1.03
"SL1344_1460",0.68,0.69,0.6,0.86,0.1,0.05
"SL1344_1461",0.44,0.53,1.03,1.42,0.37,0.11
"SL1344_1462",1.34,1.18,2.58,3.48,0.77,0.31
"SL1344_1463",1.32,2.03,2.86,3.75,0.24,0.21
"SL1344_1464",1.38,0.78,2.57,3.59,0.13,0.08
"SL1344_1465",1.32,1.46,3.81,4.41,0.21,0.08
"SL1344_1466",1.08,1.12,5,4.39,0.39,0.21
"SL1344_1467",0.42,0.52,1.41,1.32,0.19,0.1
"SL1344_1468",0.66,0.59,1.78,1.34,0.46,0.28
"SL1344_1469",1.75,1.36,0.98,1.25,0.82,0.49
"SL1344_1470",10.17,9.16,5.49,5.13,0.59,0.41
"SL1344_1471",1.82,2.08,1.44,1.44,0.62,0.25
"SL1344_1472",0.56,0.53,0.56,0.67,0.47,0.11
"SL1344_1473",0.2,0.13,0.93,0.93,1.43,0.41
"SL1344_1474",0.73,0.46,0.38,0.35,0.76,0.21
"SL1344_1475",0.46,0.62,0.43,0.36,0.25,0.09
"SL1344_1476",5.14,5.33,3.8,2.77,7.72,2.98
"SL1344_1477",1.8,2.08,4.18,4.12,1.04,0.44
"SL1344_1478",3.19,3.41,1.56,2.22,0.37,0.23
"SL1344_1479",6.09,5.77,4.28,5.26,5.73,2.42
"SL1344_1480",11.13,10.16,6.95,7.67,8.34,3.28
"SL1344_1481",0.47,1.33,0.82,0.86,1,0.27
"SL1344_1482",1.51,1.18,0.93,1.29,0.42,0.23
"SL1344_1483",0.22,0.31,0.11,0.19,0.03,0.02
"IsrF",3.93,3.24,1.8,1.74,0.34,0.11
"SL1344_ncRNA_38",3.93,3.24,1.8,1.74,0.34,0.11
"SL1344_1484",5.95,6.68,2.77,3.74,0.16,0.15
"SL1344_1485",1.26,1.09,0.74,0.99,0.25,0.1
"SL1344_1486",0.7,0.83,0.54,0.56,0.24,0.12
"SL1344_1487",0.99,0.82,0.55,0.61,0.32,0.13
"SL1344_1488",0.82,0.93,1.6,2.09,1.15,0.64
"SL1344_1489",0.39,0.37,0.94,1.07,0.49,0.3
"SL1344_1490",0.33,0.57,1.02,1.31,0.29,0.2
"SL1344_1491",0.23,0.3,0.98,0.92,0.7,0.37
"SL1344_1492",1.73,2.77,5.93,9.98,1.52,0.39
"SL1344_1493",0.84,1.03,10.78,13.91,8.48,6
"SL1344_1494",2.16,2.78,3.98,4.48,9.98,7.53
"SL1344_1495",12.05,12.14,67.09,160.8,21.4,52.77
"SL1344_1496",5.54,5.44,2.93,3.1,0.47,0.31
"SL1344_1497",1.87,1.96,2.48,3.72,0.43,0.64
"STnc3540",12.67,13.32,22.34,24.89,1.44,1.67
"SL1344_1498",4.72,5.04,8.56,9.25,0.47,0.36
"SL1344_1499",1.17,1.27,2.66,2.54,0.07,0.03
"SL1344_1500",1.43,1.5,5.08,5.35,0.13,0.08
"SL1344_1502",0.57,0.7,0.45,0.83,0.09,0.11
"SL1344_1503",440.73,447.34,172.51,183.6,3.36,2.26
"SL1344_1504",5.52,6.56,2.02,3.2,0.21,0.26
"SL1344_1505",1.32,1.44,0.79,0.9,0.34,0.2
"SL1344_1506",11.5,12.3,6.18,6.52,5.38,3.06
"SL1344_1507",0.47,0.56,0.71,0.64,0.28,0.16
"SL1344_1508",0.23,0.34,0.39,0.5,0.14,0.08
"SL1344_1509",0.23,0.25,0.36,0.64,0.08,0.02
"SL1344_1510",0.3,0.22,0.39,0.72,0.17,0.06
"SL1344_1511",0.27,0.54,0.85,0.97,0.53,0.33
"SL1344_1512",1.22,1.28,1.02,1.34,0.2,0.09
"SL1344_1513",1.74,1.97,1.59,1.95,0.48,0.13
"SL1344_1514",14.89,16.65,24.25,22.97,5.67,3.09
"SL1344_1515",3.48,3.81,0.63,0.58,0.09,0.05
"SL1344_1516",2.1,1.41,0.59,0.74,0.26,0.15
"SL1344_1517",7.63,7.54,0.82,0.99,1.68,1.2
"SL1344_1518",0.88,0.84,1.21,1.3,0.68,0.28
"SL1344_1519",1.28,0.86,1.88,2.51,4.08,1.96
"SL1344_1520",3.07,2.86,4.61,5.88,5.91,3.15
"SL1344_1521",1.51,2.12,2.21,1.73,0.18,0.15
"SL1344_1522",4.89,4.06,2.32,3.41,0.23,0.21
"SL1344_1523",7.86,10.25,3.77,5.97,1.98,0.86
"SL1344_1524",14.15,13.61,5.26,6.31,0.09,0.05
"SL1344_1525",8.88,8.85,2.52,3.05,0.39,0.2
"SL1344_1526",8.48,8.44,2.98,3.68,0.3,0.18
