"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_0038",0.54,0.46,0.48,0.39,0.08,0.05
"SL1344_0039",1.71,1.78,1.43,1.5,0.97,0.5
"SL1344_0040",6.86,7.78,6.24,8.07,1.02,0.86
"SL1344_0041",8.63,7.27,5.4,7.15,0.51,0.32
"SL1344_0042",0.95,0.84,0.28,0.44,0.08,0.06
"SL1344_0043",0.36,0.4,0.44,0.41,0.43,0.18
"SL1344_0044",1115.87,1136.63,114.28,202.02,4.97,5
"SL1344_0045",313.65,312.38,21.05,33.84,3.51,1.49
"SL1344_0046",31.88,33.08,7.25,10.2,0.43,0.32
"SL1344_0047",21.58,21.85,4.78,5.36,0.59,0.26
"SL1344_0048",44.56,43.99,11.92,12.81,1.03,0.74
"SL1344_0049",24.57,24.57,3.82,5.27,0.23,0.17
"SL1344_0050",19.23,18.46,4.24,5.6,0.31,0.16
"SL1344_0051",4.13,4.34,1.61,1.82,0.36,0.15
"SL1344_0052",3.82,4.08,1.76,2.18,0.11,0.04
"SL1344_0053",2.49,2.77,1.44,2.25,0.15,0.06
"SL1344_0054",2.65,2.66,2.29,2.04,1.81,0.83
"STnc3220",11.7,10.18,8.21,6.52,4.67,1.7
"SL1344_0055",0.26,0.2,0.08,0.08,0.05,0.03
"SL1344_0056",0.12,0.07,0.05,0.06,0.03,0
"SL1344_0057",0.22,0.22,0.09,0.11,0.05,0
"STnc4160",5.92,6.71,8.63,6.77,8.35,7.36
"STnc3090",6.23,7.06,9.08,7.13,8.79,7.75
"SL1344_0058",0.23,0.35,0.28,0.17,0.33,0.11
"SL1344_0059",0.49,0.5,0.15,0.23,0.04,0.04
"SL1344_0060",0.44,0.09,0.11,0.19,0.04,0
"SL1344_0061",0.33,0.18,0.13,0.06,0.05,0.01
"SL1344_0062",0.48,0.46,0.14,0.2,0.06,0.03
"SL1344_0063",0.28,0.33,0.18,0.11,0.01,0.01
"SL1344_0064",0.61,0.44,0.24,0.36,0.17,0.08
"SL1344_0065",6.84,6.89,6.83,8.49,3.79,1.68
"DapZ",478.45,446.4,5492.78,6410.91,481.38,370.69
"SL1344_ncRNA_2",478.45,446.4,5492.78,6410.91,481.38,370.69
"STnc3230",277.87,254.4,3152.48,4015.95,288.34,235.12
"SL1344_0066A",0.52,0.6,0.19,0.16,0.04,0.06
"SL1344_0067",4.19,3.72,3.17,2.57,2.05,1.03
"SL1344_0068",3.79,3.6,1.75,1.68,0.16,0.1
"SL1344_0069",3.14,2.11,3.19,8.23,1.68,0.54
"SL1344_0070",0.61,0.61,0.73,1.36,0.12,0.06
"SL1344_0071",0.36,0.33,0.22,0.34,0.03,0.01
"SL1344_0072",0.72,0.84,0.47,0.58,0.59,0.22
"SL1344_0073",0.45,0.33,0.25,0.38,0.23,0.09
"SL1344_0074",0.57,0.46,0.85,0.91,0.1,0.04
"SL1344_0075",0.12,0.17,0.06,0.08,0.04,0.02
"SL1344_0076",0.24,0.41,0.23,0.22,0.08,0.04
"SL1344_0077",0.11,0.08,0.08,0.09,0.08,0.04
"SL1344_0078",0.12,0.2,0.19,0.15,0.04,0.01
"SL1344_0079",0.63,0.36,0.19,0.36,0.14,0.04
"SL1344_0080",1.14,1.36,0.48,0.65,0.18,0.08
"SL1344_0081",4.15,3.16,7.35,7.03,10.97,3.9
"SL1344_0082",1.55,1.75,2.64,2.34,2.19,0.73
"SL1344_ncRNA_3",10.18,9.38,45.72,41.83,51.73,53.98
"STnc470",10.18,9.38,45.72,41.83,51.73,53.98
"SL1344_0083",2.67,2.78,4.75,4.59,2.06,0.93
"STnc4170",6.55,9.59,8.75,9.17,6.53,6.94
"SL1344_0083A",6.68,9.25,7.6,9.9,11.87,10.65
"SL1344_0084",1.45,1.32,0.73,0.75,5.83,2.31
"SL1344_0085",0.78,3.16,0.49,1.03,1.78,1.1
"SL1344_0086",1.27,1.72,2.85,2.86,8.01,1.9
"SL1344_0087",0.75,0.97,1.07,1.12,0.33,0.21
